address,city,type,price,bedrooms,bathrooms,sqft,days_on_zillow,url,zip
320 Wescoat Ct,Mountain View,House For Rent,4338,3.0,2.0,1760.0,72,http://www.zillow.com/homedetails/320-Wescoat-Ct-Mountain-View-CA-94043/2095577083_zpid/,94043
Rock St,Mountain View,Apartment For Rent,7350,3.0,2.0,1650.0,88,http://www.zillow.com/homedetails/Rock-St-Mountain-View-CA-94043/2095771094_zpid/,94043
Rock St,Mountain View,Condo For Rent,7395,3.0,2.0,1650.0,300,http://www.zillow.com/homedetails/Rock-St-Mountain-View-CA-94043/2102897803_zpid/,94043
141 Frederick Ct,Mountain View,Townhouse For Rent,4995,3.0,2.5,1288.0,433,http://www.zillow.com/homedetails/141-Frederick-Ct-Mountain-View-CA-94043/51073584_zpid/,94043
600 Rainbow Dr APT 157,Mountain View,Apartment For Rent,3816,3.0,2.0,1325.0,NA,http://www.zillow.com/homedetails/600-Rainbow-Dr-APT-157-Mountain-View-CA-94041/19519053_zpid/,94041
515 Front Ln,Mountain View,House For Rent,5150,3.0,2.5,1647.0,6,http://www.zillow.com/homedetails/515-Front-Ln-Mountain-View-CA-94041/19515291_zpid/,94041
171 Gary Ct,Mountain View,House For Rent,4600,3.0,2.0,1540.0,19,http://www.zillow.com/homedetails/171-Gary-Ct-Mountain-View-CA-94041/19515538_zpid/,94041
34 Church St,Mountain View,House For Rent,5200,3.0,2.0,1500.0,20,http://www.zillow.com/homedetails/34-Church-St-Mountain-View-CA-94041/2100043725_zpid/,94041
221 W Evelyn Ave,Mountain View,Townhouse For Rent,4890,3.0,3.5,1704.0,31,http://www.zillow.com/homedetails/221-W-Evelyn-Ave-Mountain-View-CA-94041/121041844_zpid/,94041
108 Bryant St APT 22,Mountain View,Condo For Rent,4999,3.0,2.5,1370.0,41,http://www.zillow.com/homedetails/108-Bryant-St-APT-22-Mountain-View-CA-94041/54770315_zpid/,94041
493 Magritte Way,Mountain View,Townhouse For Rent,4940,3.0,3.5,1637.0,67,http://www.zillow.com/homedetails/493-Magritte-Way-Mountain-View-CA-94041/94696743_zpid/,94041
563 Alice Ave,Mountain View,House For Rent,4299,3.0,2.5,2000.0,100,http://www.zillow.com/homedetails/563-Alice-Ave-Mountain-View-CA-94041/19518865_zpid/,94041
818 Devoto St,Mountain View,House For Rent,4750,3.0,2.0,1850.0,336,http://www.zillow.com/homedetails/818-Devoto-St-Mountain-View-CA-94041/19519244_zpid/,94041
49 Showers Dr,Mountain View,Townhouse For Rent,4300,3.0,2.5,1487.0,0.417,http://www.zillow.com/homedetails/49-Showers-Dr-Mountain-View-CA-94040/2104302077_zpid/,94040
Pacchetti Way,Mountain View,Townhouse For Rent,4300,3.0,3.0,1421.0,0.417,http://www.zillow.com/homedetails/Pacchetti-Way-Mountain-View-CA-94040/2099924308_zpid/,94040
2043 W El Camino Real # HRNPGHGNP,Mountain View,Apartment For Rent,3995,3.0,2.0,1240.0,0,http://www.zillow.com/homedetails/2043-W-El-Camino-Real-HRNPGHGNP-Mountain-View-CA-94040/2096437280_zpid/,94040
255 S Rengstorff Ave APT 46,Mountain View,Condo For Rent,3488,3.0,2.0,1292.0,2,http://www.zillow.com/homedetails/255-S-Rengstorff-Ave-APT-46-Mountain-View-CA-94040/19514560_zpid/,94040
49 Showers Dr APT L470,Mountain View,Townhouse For Rent,4350,3.0,2.5,1526.0,7,http://www.zillow.com/homedetails/49-Showers-Dr-APT-L470-Mountain-View-CA-94040/19509702_zpid/,94040
1511 Miramonte Ave,Mountain View,House For Rent,4500,3.0,2.0,1178.0,7,http://www.zillow.com/homedetails/1511-Miramonte-Ave-Mountain-View-CA-94040/19532975_zpid/,94040
1056 Petie Way,Mountain View,House For Rent,5950,3.0,2.0,1324.0,10,http://www.zillow.com/homedetails/1056-Petie-Way-Mountain-View-CA-94040/19532790_zpid/,94040
191 E El Camino Real SPC 126,Mountain View,Home For Rent,3295,3.0,2.0,1344.0,14,http://www.zillow.com/homedetails/191-E-El-Camino-Real-SPC-126-Mountain-View-CA-94040/2094879895_zpid/,94040
191 E El Camino Real SPC 159,Mountain View,Home For Rent,3395,3.0,2.0,1000.0,16,http://www.zillow.com/homedetails/191-E-El-Camino-Real-SPC-159-Mountain-View-CA-94040/2094912548_zpid/,94040
160 Montelena Ct,Mountain View,Townhouse For Rent,4600,3.0,3.0,1796.0,41,http://www.zillow.com/homedetails/160-Montelena-Ct-Mountain-View-CA-94040/19510964_zpid/,94040
1449 Topar Ave,Los Altos,House For Rent,5995,3.0,2.0,1600.0,1,http://www.zillow.com/homedetails/1449-Topar-Ave-Los-Altos-CA-94024/19627941_zpid/,94024
590 Deodara Dr,Los Altos,Apartment For Rent,1500,3.0,2.0,1946.0,2,http://www.zillow.com/homedetails/590-Deodara-Dr-Los-Altos-CA-94024/19629731_zpid/,94024
1922 Annette Ln,Los Altos,House For Rent,5950,3.0,2.5,1740.0,30,http://www.zillow.com/homedetails/1922-Annette-Ln-Los-Altos-CA-94024/19620913_zpid/,94024
Edge Ln,Los Altos,Apartment For Rent,6875,3.0,2.0,2500.0,37,http://www.zillow.com/homedetails/Edge-Ln-Los-Altos-CA-94024/2095151538_zpid/,94024
52 Woods Ln,Los Altos,Townhouse For Rent,5800,3.0,2.0,1785.0,41,http://www.zillow.com/homedetails/52-Woods-Ln-Los-Altos-CA-94024/19631417_zpid/,94024
